Use Case,Test,Model,Prompt,Session,Date,Findings,Result Score,Related To,Notes 
Summarizing Search Results,Direct prompt,GPT 4o,search on "war in Gaza" and summarize the first 4 results.,1.0,21-Jul,Similar results to Google, but cited only the Jerusalem Post,,, 
Summarizing Search Results,Direct prompt,GPT 4o,what are the first 5 search results on google for the "war in Gaza"?,1.1,21-Jul,Returned 5 results citing Wikipedia and 4 from Al Jazeera, some of which matched Google result links. The API may return differing results from web. ,,, 
Summarizing Search Results,Direct prompt,GPT 4o,what are the first 5 search results for "NASA JWST" on Google?,1.2,21-Jul,Does offer links to legitimate stories, but differs from the web version, likely due to API.  ,,, 
Summarizing Search Results,Direct prompt,GPT 4o,what are the first 15 search results for "NASA JWST" on Google?,1.3,21-Jul,Returned 15 links. Counted 1-0, then started counting at 1 again, so the numbering system isn't something referencable. ,,, 
Summarizing Search Results,Summarize,GPT 4o,Combine all of these summaries into a single summary of no more than 100 words. ,1.4,21-Jul,Provided a summary; hard to tell whether it was strictly based on the 15 search results, because no sources were cited. May need to prompt for citations.,,, 
Cross-model search,Capability prompt,GPT 4o,can you search other foundation models such as Lambda or Claude?,1.5,21-Jul,Misunderstood the prompt and simply gave an overview of LaMDA. Provided citations for all paragraphs. Suggested a link to Google's blog for further study.,,, 
Cross-model search,Direct prompt,GPT 4o,Search LaMDA for "NASA JWST",1.6,21-Jul,Did not search LaMDA. Provided a "JWST and its relation to Google's LaMDA model",,, 
Cross-model search,Direct prompt,GPT 4o,is it possible to use ChatGPT to prompt other foundational models like LaMDA and Claude and retrieve their information?,2.0,21-Jul,Response "No, it's not possible for me to directly prompt other foundational models like LaMDA and Claude and retrieve their information. Each of these models operates within their own distinct environments and frameworks, and interoperability between them isn't natively supported. However, if you have access to those models through their respective platforms, you can manually input queries and share their outputs here. If you provide the information, I can help you analyze, compare, or synthesize the responses from different models",,, 
Cross-model search,Direct prompt,GPT 4o,are there tools available that can prompt multiple LLMs in as part of a single product?,2.1,21-Jul,Provided useful tools for combining results from muliple models. ,,, 
Summarizing Search Results,Direct prompt,Claude 3.5 Sonnet,what are the top five search results for "making cottage cheese" on google?,3.0,21-Jul,"I apologize, but I don't have access to real-time Google search results or any external databases…",,, 
Summarizing Search Results,Direct prompt,Gemini,who was the US president in 2001?,4.0,21-Jul,"I can't help with that right now…",,, 
Summarizing Search Results,Direct prompt,Gemini,search on google.com for "war in gaza" and summarize the first 5 results.,4.1,21-Jul,Wouldn't answer the prompt, suggested searching Google. ,,, 
Session memory,Capability prompt,Gemini,how do I find my previous gemini prompts and results?,5.0,22-Jul,Sessions do appear on the left nave but the response says: "Unfortunately, there isn't a way to directly access your previous prompts and results within the current Gemini interface.",,, 
Search engine integration,Direct prompt,GPT 4o,Search bing.com for "war in Gaza" and provide the first 5 results.,6.0,22-Jul,Does search bing.com and produces links that appear to be results. Only showed Wikipedia and Al Jazeera results, whereas the website showed AP News, CBS News, Reuters and others.,,, 
Search engine integration,Direct prompt,GPT 4o,Search bing.com for "war in Gaza" and provide the first 15 results.,6.1,22-Jul,One story cited each from Reuters and Jerusalem Post, but all other citations from Al Jazeera. ,,, 
Search engine integration,Direct prompt,Llama 3.5,what are the first 5 search results on google for the "war in Gaza"?,7.0,23-Jul,Gave 5 citations but no in-line links. "View Sources" claims that all the material came from Wikipedia. ,,, 
Search engine integration,Direct prompt,Llama 3.5,Search bing.com for "war in Gaza" and provide the first 15 results.,7.1,23-Jul,Provided an overview using 5 bullet points. "View Sources" revealed only Wikipedia,,, 
Search engine integration,Direct prompt,Llama 3.5,who was the US president in 2001?,7.2,23-Jul,Nailed it. And in 2 sentences.,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
